"ITEM_CODE","ITEM_NAME","ITEM_TYPE","ITEM_ADDR","ITEM_PRICE","ITEM_DETAIL","ITEM_STYLE","ITEM_MADEFOR","ITEM_CLEANING"
STON06190110,Weatherproof Cotton Canvas_ghost Piece(Beige),outers,/ShoppingMall-WEB/images/outers/Weatherproof Cotton Canvas_ghost Piece(Beige)/,1157300,"WEATHERPROOF COTTON CANVAS_ GHOST PIECE: 카무플라주 컨셉으로부터 기인한 Ghost 라인 아이템은 완전히 한 가지 컬러로 완성됩니다. Stone Island 배지 또한 의상과 동일한 솔리드 컬러로 특수 제작됩니다. 섬유장이 가장 길고 우수한 최고급 면 섬유로 이루어진 고밀도 코튼 캔버스 소재의 셔츠 재킷. 조밀한 섬유 구조와 물에 젖었을 때 팽창하는 특성이 결합되어 별도의 코팅 또는 라미네이트 처리 없이도 어떠한 기상 조건에서도 완벽한 보호 기능을 제공합니다. 편안한 착용감과 탁월한 촉감을 선사하는 100% 천연 소재입니다. 방풍 기능, 통기성 및 뛰어난 내구성을 지닙니다.",셔츠 칼라. 웰트 포켓. 가슴 부분에 가로 지퍼 여밈 패치 포켓. 왼쪽 소매의 Stone Island Ghost 배지. 스냅버튼 여밈 커프스. 밑단의 밴드 디테일. 옆면의 스냅버튼 여밈 스트랩. 뒷면의 요크. 투웨이 지퍼 여밈.,"100% 면","세탁시 세탁표시를 반드시 확인하십시오.; 염소, 산소계 표백제 사용을 삼가하여 주십시오.; 건조시 기계 건조를 삼가하여 주십시오.; 이 제품은 원단 특성상 다림질을 할 경우에는 고온에서의 다림질과 스팀은 삼가하여 주세요.; 드라이클리닝 할 수 없습니다.; 건조시 옷걸이에 걸어서 그늘에 건조하십시오.; 단독 세탁 하십시오.; 뒤집어서 세탁하십시오.; 중성 세제를 사용하십시오.; 세탁 전에 탈부착식 부자재를 분리하십시오.; 천을 대고 다림질하십시오."
STON06190112,Stone Island Ghost Piece_Cuproraso With Primaloft-tc,outers,/ShoppingMall-WEB/images/outers/Stone Island Ghost Piece_Cuproraso With Primaloft-tc/,1426250,STONE ISLAND GHOST PIECE_CUPRO RASO WITH PRIMALOFT®-TC: 카무플라주 컨셉으로부터 기인한 Ghost 라인 아이템의 전체 디테일은 한 가지 컬러로만 구성됩니다. STONE ISLAND 배지 또한 의상과 동일한 솔리드 컬러로 특수 제작됩니다. 씨앗 부근의 짧은 필라멘트에서 기인한 면직물 산업의 부산물인 인공 섬유 큐프로 새틴으로 제작한 보머 재킷. 그 결과 견고하면서도 은은한 광택을 자아내는 원단이 탄생합니다. 안티드롭 제제를 첨가한 가먼트 다이 염색 공정으로 독특한 색감을 자아냅니다. 고온 가먼트 다이 염색 공정에도 본래의 볼륨감과 보온성을 그대로 유지하도록 STONE ISLAND의 기술로 특수 가공한 70% 재생 섬유가 포함된 단열 섬유를 혼합하여 만든 PrimaLoft®-TC 레이어로 패딩 처리한 의상.,"큐프로 새틴 소재의 보머 칼라. 허리 부분에 히든 스냅버튼 디테일의 플랩 여밈 핸드 포켓, 옆면에 히든 지퍼 여밈의 보조 포켓. 왼쪽 소매에 Stone Island Ghost 배지. 리브 조직으로 마감한 커프스와 밑단. 스냅버튼 여밈 플래킷에 숨겨진 투웨이 지퍼 여밈.","의류: 100% 큐프라(구리암모늄레이온), 골지: 99% 면 1% 폴리우레탄, 안감 : 100% 면","세탁시 세탁표시를 반드시 확인하십시오.; 염소, 산소계 표백제 사용을 삼가하여 주십시오.; 건조시 기계 건조를 삼가하여 주십시오.; 이 제품은 원단 특성상 다림질을 할 경우에는 고온에서의 다림질과 스팀은 삼가하여 주세요.; 드라이클리닝 할 수 없습니다.; 건조시 옷걸이에 걸어서 그늘에 건조하십시오.; 제품의 특성상 염료의 탈색이 있는 제품이오니 반드시 다른제품과 구분 후 뒤집어서 단독 세탁해 주십시오.; 중성 세제를 사용하십시오.; 세탁 전에 탈부착식 부자재를 분리하십시오.; 천을 대고 다림질하십시오."
STON06190113,Stretch Cotton Twill,outers,/ShoppingMall-WEB/images/outers/Stretch Cotton Twill/,2037500,"STRETCH COTTON TWILL: 한 면은 머서라이즈 가공한 스트레치 코튼 트윌, 다른 한 면은 Nylon Metal 소재로 구성된 리버시블 보머 재킷. 위사는 그레이 컬러, 경사는 블랙 컬러 나일론사로 이루어진 삼엽 구조가 특유의 메탈릭한 광택을 자아내는 Nylon Metal 원단은 Stone Island 연구팀이 탄생시킨 가장 활용도가 높은 소재 중 하나입니다. 봉제된 의상은 과불화탄소 PFC를 함유하지 않은 특수 안티드롭 물질을 첨가하여 정교한 이중 가먼트 다이 염색가공을 거쳐 완성됩니다. 가벼운 PrimaLoft® 충전재.","리브 조직의 네크라인과 커프스, 밑단. 스냅버튼 여밈. 스트레치 코튼 트윌 소재를 사용한 면에는 나일론 헤링본 테이프로 가장자리를 마감한 히든 스냅버튼 여밈의 세로 포켓. 솔기 부분의 히든 지퍼 여밈 핸드 포켓. 왼쪽 소매에 Stone Island 배지. 뒷면에 2024년 용의 해를 기념하는 Stone Island의 아트워크 자수 장식. Nylon Metal 소재를 사용한 면에는 형태가 잡힌 플랩이 달린 히든 스냅버튼 여밈의 세로 핸드 포켓. 왼쪽 소매에 Stone Island 배지를 달기 위한 버튼.","겉면: 100% 나일론, 내부: 97% 면 3% 폴리우레탄, 충전재: 100% 폴리에스터 - 장식 제외, 충전재: 100% 폴리에스터","세탁시 세탁표시를 반드시 확인하십시오.; 염소, 산소계 표백제 사용을 삼가하여 주십시오.; 건조시 기계 건조를 삼가하여 주십시오.; 이 제품은 원단 특성상 다림질을 할 경우에는 고온에서의 다림질과 스팀은 삼가하여 주세요.; 드라이클리닝 할 수 없습니다.; 건조시 옷걸이에 걸어서 그늘에 건조하십시오.; 제품의 특성상 염료의 탈색이 있는 제품이오니 반드시 다른제품과 구분 후 뒤집어서 단독 세탁해 주십시오.; 중성 세제를 사용하십시오.; 세탁 전에 탈부착식 부자재를 분리하십시오.; 천을 대고 다림질하십시오."
STON06190114,Quilted Nylon Stella Conprimaloft-tc,outers,/ShoppingMall-WEB/images/outers/Quilted Nylon Stella Conprimaloft-tc/,1206200,QUILTED NYLON STELLA WITH PRIMALOFT®-TC: 무광택 극세사로 직조한 나일론 캔버스 소재의 재킷. 레진 코팅하여 약간의 방수 및 방풍 기능을 제공합니다. 고온 가먼트 다이 염색 공정에도 본래의 볼륨감과 보온성을 그대로 유지하도록 STONE ISLAND의 기술로 특수 가공한 70% 재생 섬유가 포함된 단열 섬유를 혼합하여 만든 PrimaLoft®-TC 레이어로 퀼팅 처리하여 STONE ISLAND 별모양 모티프를 구현한 의상. 과불화탄소 PFC를 함유하지 않은 특수 물질을 첨가하여 안티드롭 기능을 지닙니다.,"나일론 오토만 소재로 완성한 칼라와 가슴 부분의 패치 포켓, 어깨 뒷부분. 가슴 부분에 세로 입구 디테일의 스냅버튼 여밈 패치 포켓. 웰트 포켓. 왼쪽 소매에 Stone Island 배지. 나일론 테이프로 커버한 진동둘레 및 소매 부분의 솔기. 스냅버튼으로 조절 가능한 커프스. 뒷면에 두 아일렛 디테일의 작은 나일론 탭. 스냅버튼 여밈.","겉면: 100% 나일론, 내부: 97% 면 3% 폴리우레탄, 충전재: 100% 폴리에스터 - 장식 제외, 충전재: 100% 폴리에스터","세탁시 세탁표시를 반드시 확인하십시오.; 염소, 산소계 표백제 사용을 삼가하여 주십시오.; 건조시 기계 건조를 삼가하여 주십시오.; 이 제품은 원단 특성상 다림질을 할 경우에는 고온에서의 다림질과 스팀은 삼가하여 주세요.; 드라이클리닝 할 수 없습니다.; 건조시 옷걸이에 걸어서 그늘에 건조하십시오.; 제품의 특성상 염료의 탈색이 있는 제품이오니 반드시 다른제품과 구분 후 뒤집어서 단독 세탁해 주십시오.; 중성 세제를 사용하십시오.; 세탁 전에 탈부착식 부자재를 분리하십시오.; 천을 대고 다림질하십시오."
STON06190115,Lino Nylon Tela-tc,outers,/ShoppingMall-WEB/images/outers/Lino Nylon Tela-tc/,1255100,"LINO NYLON TELA-TC: 리넨과 나일론 원사를 정교하게 혼방한 원단인 Lino Nylon Tela-TC 소재의 셔츠/필드 재킷. 리넨 특유의 순수함과 우아함은 나일론이 지닌 가벼움 및 기술성과 결합되어 내마모성이 뛰어난 기능적인 원사로 탄생합니다. 완성된 의상은 나일론 단독 또는 코튼-나일론 섬유를 위한 정교한 가먼트 다이 염색 공정을 거치며 나일론 단독 염색의 경우, 직물의 리넨 성분으로 인해 의상이 파스텔 색조를 띄게 됩니다. 과불화탄소 PFC를 함유하지 않은 특수 물질을 첨가하여 안티드롭 기능을 지닙니다.
GARMENT DYED
","가슴에 외부 및 내부 패치 포켓, 나일론 테이프 패치와 겹치는 상단 부분. 나일론 테이프 패치 위 스냅버튼 및 플랩 여밈의 벨로즈 패치 포켓 두 개. 왼쪽 소매에 Stone Island 배지. 스냅버튼 여밈 커프스. 버튼 여밈.","80% 마 20% 나일론","세탁시 세탁표시를 반드시 확인하십시오.; 염소, 산소계 표백제 사용을 삼가하여 주십시오.; 건조시 기계 건조를 삼가하여 주십시오.; 이 제품은 원단 특성상 다림질을 할 경우에는 고온에서의 다림질과 스팀은 삼가하여 주세요.; 드라이클리닝 할 수 없습니다.; 건조시 옷걸이에 걸어서 그늘에 건조하십시오.; 제품의 특성상 염료의 탈색이 있는 제품이오니 반드시 다른제품과 구분 후 뒤집어서 단독 세탁해 주십시오.; 중성 세제를 사용하십시오.; 세탁 전에 탈부착식 부자재를 분리하십시오.; 천을 대고 다림질하십시오."
STON06190116,Bio Raso With Bio-alloy Light Cover-tc and Knit,outers,/ShoppingMall-WEB/images/outers/Bio Raso With Bio-alloy Light Cover-tc and Knit/,1361050,BIO RASO WITH BIO-ALLOY™ LIGHT COVER-TC AND KNIT: Bio Raso with Bio-Alloy™ Light Cover-TC 소재의 재킷. Stone Island의 혁신적이고 아이코닉한 고무 가공 새틴 소재인 Bio Raso with Bio-Alloy™ Light Cover-TC는 100% 오가닉 코튼과 식물성 단백질로 설계된 Modern Meadow사의 독점 기술인 Bio-Alloy™로 제작됩니다. 이 기술을 통해 경량 원단의 내구성을 높이고 편안함을 극대화하여 최적의 외관과 착용감을 구현할 수 있습니다. Bio-Alloy™ 기술은 반응성 염료를 사용한 가먼트 다이 염색 공정에 적용될 경우 한층 선명할 뿐 아니라 오래 지속되는 색상을 구현하며 과불화탄소 PFC를 함유하지 않은 특수 물질을 첨가하여 안티드롭 기능을 지닙니다. 5 게이지 오가닉 코튼 소재의 니트.,"리브 조직 오가닉 코튼 소재의 보머 칼라, 버튼 여밈의 코튼 테이프 스트랩. 스냅버튼 여밈의 세로 포켓. 스토키네트 스티치 디테일의 오가닉 코튼 소재 소매, 리브 조직 커프스. 왼쪽 소매에 Stone Island 배지. 리브 조직의 오가닉 코튼 소재로 완성한 밑단 밴드. 버튼 여밈.","바디: 100% 면 - 코팅 제외, 니트 직물 부분: 100% 면","세탁시 저온에서 손세탁 하십시오.; 염소, 산소계 표백제 사용을 삼가하여 주십시오.; 건조시 기계 건조를 삼가하여 주십시오.; 이 제품은 원단 특성상 다림질을 할 경우에는 고온에서의 다림질과 스팀은 삼가하여 주세요.; 드라이클리닝 할 수 없습니다.; 건조시 기계 건조 또는 옷걸이를 사용하지 마시고 형태를 유지하여 그늘에 뉘어서 건조하십시오.; 제품의 특성상 염료의 탈색이 있는 제품이오니 반드시 다른제품과 구분 후 뒤집어서 단독 세탁해 주십시오.; 중성 세제를 사용하십시오.; 세탁 전에 탈부착식 부자재를 분리하십시오.; 천을 대고 다림질하십시오."
STON06200119,Stone Island Marina_plated Cotton Canvas,shirt,/ShoppingMall-WEB/images/shirt/Stone Island Marina_plated Cotton Canvas/,627550,STONE ISLAND MARINA_PLATED COTTON CANVAS: 특수 컬러 레진으로 외부를 코팅 처리한 거친 촉감의 가벼운 퓨어 코튼 캔버스 소재 오버 셔츠. 가먼트 워싱으로 레진 코팅이 제거되어 코튼 특유의 자연스러운 슬러브가 드러납니다.,컴포트 핏. 앞면의 요크. 가슴 부분에 Stone Island Marina 레터링 프린트를 가미한 메탈 버튼 여밈의 패치 포켓. 뒷면 하단에 다섯 개의 큰 스트라이프 프린트. 메탈 버튼 디테일의 커프스. 메탈 버튼 여밈.,"100% 면","세탁시 세탁표시를 반드시 확인하십시오.; 염소, 산소계 표백제 사용을 삼가하여 주십시오.; 건조시 기계 건조를 삼가하여 주십시오.; 이 제품은 원단 특성상 다림질을 할 경우에는 고온에서의 다림질과 스팀은 삼가하여 주세요.; 드라이클리닝 할 수 없습니다.; 건조시 옷걸이에 걸어서 그늘에 건조하십시오.; 단독 세탁 하십시오.; 뒤집어서 세탁하십시오.; 중성 세제를 사용하십시오.; 세제를 직접 의류에 사용하지 마십시오.; 천을 대고 다림질하십시오.; 인쇄 부분에 직접 다림질은 피하십시오."
STON06190101,Membranan 3L TC(R),outers,/ShoppingMall-WEB/images/outers/Membranan 3L TC(R)/,1010600,"MEMBRANA 3L TC: 무광택 나일론 소재의 외부 레이어를 매우 얇은 폴리에스테르 보호막을 덧댄 통기성과 방수 기능을 지닌 멤브레인으로 코팅한 삼중 구조의 가벼운 기능성 원단, MEMBRANA 3L TC 소재로 제작한 보머 재킷. STONE ISLAND 고유의 노하우가 깃든 가먼트 다이 염색 공정을 거친 의상 외부의 레이어는 유려한 색조를 자아내는 동시에 내부 멤브레인 층의 기능성을 그대로 유지합니다. 염색 공정 중 특수 물질을 첨가하여 안티드롭 기능을 지닙니다.",리브 조직 칼라. 플랩 및 스냅버튼 여밈의 약간 기울어진 사선 포켓. 왼쪽 소매에 Stone Island 배지. 리브 조직으로 마감한 커프스와 밑단. 투웨이 지퍼 여밈.,"겉감: 외부 쉘: 100% 나일론, 코팅: 100% 폴리우레탄수지, 내부: 100% 폴리에스터, 니트 직물 부분: 95% 나일론 5% 폴리우레탄, 겉감 2: 100% 나일론, 코팅: 100% 폴리우레탄수지","세탁시 세탁표시를 반드시 확인하십시오.; 염소, 산소계 표백제 사용을 삼가하여 주십시오.; 건조시 기계 건조를 삼가하여 주십시오.; 이 제품은 원단 특성상 다림질을 할 경우에는 고온에서의 다림질과 스팀은 삼가하여 주세요.; 드라이클리닝 할 수 없습니다.; 건조시 옷걸이에 걸어서 그늘에 건조하십시오.; 제품의 특성상 염료의 탈색이 있는 제품이오니 반드시 다른제품과 구분 후 뒤집어서 단독 세탁해 주십시오.; 중성 세제를 사용하십시오.; 세탁 전에 탈부착식 부자재를 분리하십시오.; 천을 대고 다림질하십시오."
STON06190102,Membranan 3L TC(B),outers,/ShoppingMall-WEB/images/outers/Membranan 3L TC(B)/,1116550,"MEMBRANA 3L TC: 무광택 나일론 소재의 외부 레이어를 매우 얇은 폴리에스테르 보호막을 덧댄 통기성과 방수 기능을 지닌 멤브레인으로 코팅한 삼중 구조의 가벼운 기능성 원단, MEMBRANA 3L TC 소재로 제작한 보머 재킷. STONE ISLAND 고유의 노하우가 깃든 가먼트 다이 염색 공정을 거친 의상 외부의 레이어는 유려한 색조를 자아내는 동시에 내부 멤브레인 층의 기능성을 그대로 유지합니다. 염색 공정 중 특수 물질을 첨가하여 안티드롭 기능을 지닙니다.",리브 조직 칼라. 플랩 및 스냅버튼 여밈의 약간 기울어진 사선 포켓. 왼쪽 소매에 Stone Island 배지. 리브 조직으로 마감한 커프스와 밑단. 투웨이 지퍼 여밈.,"겉감: 외부 쉘: 100% 나일론, 코팅: 100% 폴리우레탄수지, 내부: 100% 폴리에스터, 니트 직물 부분: 95% 나일론 5% 폴리우레탄, 겉감 2: 100% 나일론, 코팅: 100% 폴리우레탄수지","세탁시 세탁표시를 반드시 확인하십시오.; 염소, 산소계 표백제 사용을 삼가하여 주십시오.; 건조시 기계 건조를 삼가하여 주십시오.; 이 제품은 원단 특성상 다림질을 할 경우에는 고온에서의 다림질과 스팀은 삼가하여 주세요.; 드라이클리닝 할 수 없습니다.; 건조시 옷걸이에 걸어서 그늘에 건조하십시오.; 제품의 특성상 염료의 탈색이 있는 제품이오니 반드시 다른제품과 구분 후 뒤집어서 단독 세탁해 주십시오.; 중성 세제를 사용하십시오.; 세탁 전에 탈부착식 부자재를 분리하십시오.; 천을 대고 다림질하십시오."
STON06190104,Dissolving Grid Camo On Econyl Regenerated Nylon,outers,/ShoppingMall-WEB/images/outers/Dissolving Grid Camo On Econyl Regenerated Nylon/,1996750,DISSOLVING GRID CAMO ON ECONYL® REGENERATED NYLON: 삼중 구조의 유광 ECONYL® 재생 원사로 이루어진 나일론 캔버스 소재의 재킷. 소비자가 사용하기 전후의 폐기된 나일론은 복합적인 해중합 공정을 통해 재생되어 화석 원료에서 추출한 나일론과 동일한 특성을 자랑하는 섬유로 재탄생합니다. 메쉬 지지면의 일부를 의도적으로 물들여 얻은 STONE ISLAND 고유의 독창적인 카무플라주 디지털 프린트는 가먼트 다이 염색을 통해 부분적인 엠보싱 효과를 선사합니다. 이후 의상은 정교한 이중 염색가공을 거칩니다. 정밀한 이중 가먼트 다이 염색 공정 중 과불화탄소 PFC를 함유하지 않은 특수 물질을 첨가하여 안티드롭 기능을 지닙니다.,"스탠드 칼라 내부에 접어 넣을 수 있는 후드, 옥스포드 나일론 소재의 후드 베이스. 가슴 부분에 두 개의 플랩 및 히든 스냅버튼 여밈의 사선 포켓. 가슴 부분의 포켓 아래에 통기 기능성 슬릿을 형성하는 사선 플랩. 나일론 테이프로 가장자리를 마감한 지퍼 여밈의 세로 포켓. 왼쪽 소매에 Stone Island 배지. 팔꿈치 부분에 옥스포드 나일론 소재의 패치. 팔 위쪽의 지퍼 여밈 포켓. 스냅버튼으로 조절 가능한 커프스 스트랩. 밑단 가장자리에 드로스트링 내장. 중앙에 투웨이 지퍼가 숨겨진 스냅버튼 여밈 더블 플랩.","의류: 100% 나일론, 의류 디테일: 100% 나일론, 안감: 100% 나일론","세탁시 세탁표시를 반드시 확인하십시오.; 염소, 산소계 표백제 사용을 삼가하여 주십시오.; 건조시 기계 건조를 삼가하여 주십시오.; 이 제품은 원단 특성상 다림질을 할 경우에는 고온에서의 다림질과 스팀은 삼가하여 주세요.; 드라이클리닝 할 수 없습니다.; 건조시 옷걸이에 걸어서 그늘에 건조하십시오.; 제품의 특성상 염료의 탈색이 있는 제품이오니 반드시 다른제품과 구분 후 뒤집어서 단독 세탁해 주십시오.; 중성 세제를 사용하십시오.; 세탁 전에 탈부착식 부자재를 분리하십시오.; 천을 대고 다림질하십시오."
STON06190105,Micro Twill,outers,/ShoppingMall-WEB/images/outers/Micro Twill/,1035050,MICRO TWILL: 나선형 분자 구조를 지닌 폴리에스테르 Micro Twill 소재의 재킷. 이 섬유는 깊고 풍부한 색상의 원단에 부드럽고 편안한 질감을 선사합니다. 과불화탄소 PFC를 함유하지 않은 제제로 안티드롭 가공.,"스탠드 칼라 내부에 접어 넣을 수 있는 후드. 어깨 내부의 보강 패치. 퍼넬 플랩 및 히든 스냅버튼 여밈의 패치 포켓, 외부에 히든 지퍼 여밈의 두 번째 포켓. 왼쪽 소매에 Stone Island 배지. 소매 아래에 통기 기능을 위한 오프닝 디테일. 리브 조직 커프스. 밑단에 엘라스틱 드로스트링. 스냅버튼 여밈의 플래킷 아래에 투웨이 히든 지퍼 여밈.","겉감: 100% 폴리에스터, 컨실드 후드: 100% 나일론, 코팅: 100% 폴리우레탄수지","세탁시 세탁표시를 반드시 확인하십시오.; 염소, 산소계 표백제 사용을 삼가하여 주십시오.; 건조시 기계 건조를 삼가하여 주십시오.; 이 제품은 원단 특성상 다림질을 할 경우에는 고온에서의 다림질과 스팀은 삼가하여 주세요.; 드라이클리닝 할 수 없습니다.; 건조시 옷걸이에 걸어서 그늘에 건조하십시오.; 단독 세탁 하십시오.; 뒤집어서 세탁하십시오.; 중성 세제를 사용하십시오.; 세탁 전에 탈부착식 부자재를 분리하십시오.; 천을 대고 다림질하십시오."
STON06190107,Metallic Run Proof Nylon,outers,/ShoppingMall-WEB/images/outers/Metallic Run Proof Nylon/,1271400,METALLIC RUN PROOF NYLON: 유색 압출 폴리우레탄 필름을 덧댄 블랙 색상의 가벼운 올 풀림 방지 가공 폴리에스테르 원단으로 제작하여 메탈릭한 광채를 선사하는 재킷. 탁월한 방수 및 방풍 기능. 최적의 보호 기능을 제공하고 의상의 기하학적 형태를 한층 강조하는 열접착 테이프 디테일. 과불화탄소 PFC를 함유하지 않은 제제로 안티드롭 가공.,"스탠드 칼라. 파이핑으로 가장자리를 마감한 분할 지퍼 여밈의 긴 오프닝이 목 부분에서 시작하여 재킷의 앞면 왼쪽을 따라 이어지는 디자인, 접이식 후드, 가슴 부분의 세로 포켓 및 핸드 포켓. 오른쪽에 파이핑으로 가장자리를 마감한 지퍼 여밈 사선 포켓. 허리 부분 플랩에 통기 기능을 위한 두 개의 오프닝 디테일. 왼쪽 소매에 Stone Island 배지. 부분적으로 신축성 있게 처리한 스냅버튼 디테일 커프스. 뒷면에 통기 기능을 위한 두 개의 오프닝을 가미한 방풍 플랩. 파이핑으로 가장자리를 마감한 투웨이 지퍼 여밈.","의류: 100% 폴리에스터, 코팅: 100% 폴리우레탄수지, 안감 : 100% 나일론","세탁시 저온에서 손세탁 하십시오.; 염소, 산소계 표백제 사용을 삼가하여 주십시오.; 건조시 기계 건조를 삼가하여 주십시오.; 드라이클리닝은 삼가하여 주십시오.; 드라이클리닝 할 수 없습니다.; 건조시 옷걸이에 걸어서 그늘에 건조하십시오.; 단독 세탁 하십시오.; 뒤집어서 세탁하십시오.; 중성 세제를 사용하십시오.; 세탁 전에 탈부착식 부자재를 분리하십시오.; 비틀거나 짜지 마십시오.; 건조시 자연건조하십시오."
